t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
42.499858,6088,6088,0,39,6.14
42.599829,6088,6088,0,39,6.14
42.69985,6088,6088,0,39,6.13
42.799828,6088,6088,0,39,6.13
42.899858,6088,6088,0,39,6.13
42.999833,6088,6088,0,39,6.13
43.099865,6088,6088,0,39,6.13
43.199828,6088,6088,0,39,6.13
43.299855,6088,6088,0,39,6.13
43.399836,6088,6088,0,39,6.13
43.499859,6088,6088,0,39,6.13
43.599834,6088,6088,0,39,6.13
43.699875,6088,6088,0,39,6.13
43.799829,6088,6088,0,39,6.13
43.899861,6088,6088,0,39,6.13
43.999837,6088,6088,0,39,6.12
44.099875,6088,6088,0,39,6.12
44.199838,6088,6088,0,39,6.13
44.299873,6088,6088,0,39,6.13
44.399835,6088,6088,0,39,6.14
44.499865,6088,6088,0,39,6.14
44.599833,6088,6088,0,39,6.14
44.699867,6088,6088,0,39,6.13
44.799829,6088,6088,0,39,6.13
44.899873,6088,6088,0,39,6.13
44.999836,6088,6088,0,39,6.12
45.099897,6088,6088,0,39,6.12
45.199842,6088,6088,0,39,6.11
45.299892,6088,6088,0,39,6.11
45.399842,6088,6088,0,39,6.13
45.499861,6088,6088,0,39,6.13
45.599845,6088,6088,0,39,6.13
45.699879,6088,6088,0,39,6.13
45.799835,6088,6088,0,39,6.13
45.899849,6088,6088,0,39,6.13
45.999829,6088,6088,0,39,6.13
46.099849,6088,6088,0,39,6.13
46.199828,6088,6088,0,39,6.14
46.299857,6088,6088,0,39,6.14
46.399828,6088,6088,0,39,6.13
46.499857,6088,6088,0,39,6.13
46.599829,6088,6088,0,39,6.13
46.699859,6088,6088,0,39,6.12
46.799846,6088,6088,0,39,6.12
46.89985,6088,6088,0,39,6.12
46.999838,6088,6088,0,39,6.13
47.099859,6088,6088,0,39,6.13
47.19985,6088,6088,0,39,6.13
47.299851,6088,6088,0,38,6.13
47.399856,6088,6088,0,38,6.14
47.499859,6088,6088,0,38,6.14
47.599869,6088,6088,0,38,6.14
47.699849,6088,6088,0,38,6.05
47.799878,6088,6084,0,38,6.05
47.89985,6088,6088,0,38,6.05
47.999864,6088,6084,0,38,6.12
48.099851,6088,6084,0,38,6.12
48.199879,6088,6084,0,38,6.14
48.299849,6088,6084,0,38,6.14
48.39988,6088,6084,0,38,6.14
48.49985,6088,6084,0,38,6.14
48.599875,6088,6084,0,38,6.14
48.699859,6088,6084,0,38,6.13
48.799871,6088,6084,0,38,6.13
48.899865,6088,6084,0,38,6.13
48.999851,6088,6084,0,38,6.13
49.099871,6088,6084,0,38,6.13
49.199835,6088,6084,0,38,6.14
49.299859,6088,6084,0,38,6.14
49.399829,6088,6084,0,38,6.13
49.499861,6088,6084,0,38,6.13
49.599835,6088,6084,0,38,6.13
49.699859,6088,6084,0,38,6.14
49.799828,6088,6084,0,38,6.14
49.899851,6088,6084,0,38,6.14
49.999828,6088,6084,0,38,6.12
50.099851,6088,6088,0,38,6.12
50.199836,6088,6088,0,38,6.13
50.299851,6088,6088,0,38,6.13
50.399835,6088,6088,0,38,6.12
50.499849,6088,6084,0,38,6.12
50.599829,6088,6088,0,38,6.12
50.699859,6088,6084,0,38,6.13
50.79983,6088,6084,0,38,6.13
50.899859,6088,6084,0,38,6.13
50.999848,6088,6088,0,38,6.13
51.099852,6088,6088,0,38,6.13
51.199836,6088,6088,0,38,6.14
51.299858,6088,6088,0,38,6.14
51.399827,6088,6088,0,38,6.14
51.499929,6088,6088,0,38,6.14
51.599836,6088,6088,0,38,6.14
51.699857,6088,6088,0,38,6.14
51.799831,6088,6088,0,38,6.14
51.899857,6088,6088,0,38,6.14
51.999829,6088,6088,0,38,6.14
52.099859,6088,6088,0,38,6.14
52.19983,6088,6088,0,38,6.13
52.299849,6088,6088,0,38,6.13
52.399829,6088,6088,0,38,6.13
52.499859,6088,6088,0,38,6.13
52.599837,6088,6088,0,38,6.13
52.69985,6088,6088,0,38,6.13
52.799833,6088,6088,0,38,6.13
52.899857,6088,6088,0,38,6.13
52.999836,6088,6088,0,38,6.14
53.09985,6088,6088,0,38,6.14
53.19984,6088,6088,0,38,6.13
53.299859,6088,6084,0,38,6.13
53.399829,6088,6084,0,38,6.13
53.49985,6088,6088,0,38,6.13
53.599826,6088,6088,0,38,6.13
53.69985,6088,6088,0,38,6.13
53.799837,6088,6088,0,38,6.13
53.899858,6088,6088,0,38,6.13
53.999828,6088,6088,0,38,6.13
54.099849,6088,6088,0,38,6.13
54.199836,6088,6088,0,38,6.13
54.299848,6088,6088,0,38,6.13
54.39983,6088,6088,0,38,6.14
54.49985,6088,6088,0,38,6.14
54.599835,6088,6088,0,38,6.14
54.699851,6088,6088,0,38,6.14
54.799831,6088,6088,0,38,6.14
54.899859,6088,6088,0,38,6.14
54.999831,6088,6088,0,38,6.14
55.099851,6088,6088,0,38,6.14
55.19983,6088,6088,0,38,6.13
55.299857,6088,6088,0,38,6.13
55.399835,6088,6088,0,38,6.13
55.49985,6088,6088,0,38,6.13
55.599838,6088,6088,0,38,6.13
55.699849,6088,6084,0,38,6.14
55.799835,6088,6088,0,38,6.14
55.899859,6088,6088,0,38,6.14
55.99983,6088,6088,0,38,6.13
56.099858,6088,6088,0,38,6.13
56.199827,6088,6088,0,38,6.14
56.29986,6088,6088,0,38,6.14
56.399827,6088,6088,0,38,6.11
56.499861,6088,6084,0,38,6.11
56.599835,6088,6088,0,38,6.11
56.699858,6088,6088,0,38,6.12
56.799827,6088,6088,0,38,6.12
56.899849,6088,6088,0,38,6.12
56.999836,6088,6088,0,38,6.14
57.09985,6088,6088,0,38,6.14
57.199828,6088,6088,0,38,6.13
57.29985,6088,6088,0,38,6.13
57.39984,6088,6088,0,38,6.14
57.499849,6088,6088,0,38,6.14
57.59984,6088,6088,0,38,6.14
57.699856,6088,6088,0,38,6.13
57.799835,6088,6088,0,38,6.13
57.89985,6088,6088,0,38,6.13
57.999836,6088,6088,0,38,6.14
58.099865,6088,6088,0,38,6.14
58.199836,6088,6088,0,38,6.13
58.299859,6088,6088,0,38,6.13
58.399835,6088,6088,0,38,6.13
58.499864,6088,6088,0,38,6.13
58.599843,6088,6088,0,38,6.13
58.699861,6088,6088,0,38,6.13
58.799844,6088,6088,0,38,6.13
58.899876,6088,6088,0,38,6.13
58.999833,6088,6088,0,38,6.13
59.099857,6088,6088,0,38,6.13
59.199829,6088,6088,0,38,6.14
59.299872,6088,6088,0,38,6.14
59.399848,6088,6088,0,38,6.14
59.49986,6088,6088,0,38,6.14
59.599851,6088,6088,0,38,6.14
59.699871,6088,6088,0,38,6.13
59.799853,6088,6088,0,38,6.13
59.899861,6088,6088,0,38,6.13
59.999859,6088,6088,0,38,6.13
60.09987,6088,6088,0,38,6.13
60.199868,6088,6088,0,38,6.13
60.299864,6088,6088,0,38,6.13
60.399859,6088,6088,0,38,6.14
60.499864,6088,6088,0,38,6.14
60.599846,6088,6088,0,38,6.14
