t__s,ACT_TILT_LEFT_FRONT.Position_CMD,ACT_TILT_LEFT_FRONT.Position_FB,ACT_TILT_LEFT_FRONT.Torque_FB,ACT_TILT_LEFT_FRONT.Temperature_FB__dC,ACT_TILT_LEFT_FRONT.Voltage_FB__V
63.787906,6844,6820,385,16,6.04
63.887909,6844,6820,385,16,5.98
63.987913,6844,6816,257,16,5.98
64.087906,6844,6816,257,16,5.98
64.187911,6844,6816,257,16,5.98
64.287913,6844,6820,257,16,5.96
64.38791,6844,6820,221,16,5.96
64.487912,6844,6820,221,16,5.96
64.587907,6844,6816,221,16,6.06
64.687913,6844,6820,93,16,6.06
64.787912,6844,6816,93,16,6.06
64.887909,6844,6820,93,16,5.97
64.987907,6844,6820,58,16,5.97
65.087913,6844,6820,58,16,6.04
65.187912,6844,6820,58,16,6.04
65.287914,6844,6816,58,16,6.01
65.387912,6844,6820,221,16,6.01
65.487914,6844,6816,221,16,6.01
65.587912,6844,6820,221,16,6.06
65.68791,6844,6820,221,16,6.06
65.787907,6844,6820,221,16,6.06
65.887908,6844,6820,221,16,6.04
65.987912,6844,6816,221,16,6.04
66.087907,6844,6820,221,16,6.04
66.187914,6844,6820,221,16,6.04
66.287907,6844,6820,221,16,6.1
66.387912,6844,6820,221,16,6.1
66.487909,6844,6820,221,16,6.1
66.587912,6844,6820,221,16,6.1
66.687906,6844,6820,221,16,6.1
66.787903,6844,6820,221,16,6.1
66.887908,6844,6820,221,16,6.1
66.987914,6844,6820,221,16,6.1
67.087908,6844,6820,221,16,6.1
67.187907,6844,6820,221,16,6.1
67.287907,6844,6820,221,16,6.1
67.387906,6844,6816,221,16,6.1
67.487906,6844,6820,221,16,6.1
67.587904,6844,6820,221,16,6.1
67.687902,6844,6820,221,16,6.1
67.787906,6844,6820,221,16,6.1
67.887905,6844,6820,221,16,6.1
67.987906,6844,6820,221,16,6.1
68.087903,6844,6820,221,16,6.1
68.187906,6844,6820,221,16,6.1
68.287912,6844,6820,221,16,6.07
68.387922,6844,6820,221,16,6.07
68.487907,6844,6820,221,16,6.07
68.587907,6844,6820,221,16,6.04
68.687914,6844,6820,221,16,6.04
68.787911,6844,6820,221,16,6.04
68.887906,6844,6816,221,16,6.06
68.987912,6844,6820,52,16,6.06
69.087908,6844,6820,52,16,6.09
69.187905,6844,6820,52,16,6.09
69.287905,6844,6820,52,16,6.09
69.387906,6844,6820,221,16,6.09
69.487905,6844,6820,221,16,6.09
69.587904,6844,6820,221,16,6.09
69.687915,6844,6820,385,16,6.09
69.787902,6844,6820,385,16,6.09
69.887907,6844,6820,385,16,6.09
69.987906,6844,6820,221,16,6.09
